AWS Cloudformation	Platforms & Infrastructure	infrastructure manager	-0.7	-1.9	5	ASSESS		0				-1	1.5	-2	-2
New Relic	Platforms & Infrastructure	APM, Infra Monitoring	0.9	1.1	9	TRIAL	2	1	1	2	2	1	-1	-2	2
Datadog	Platforms & Infrastructure	APM, Infra Monitoring, Logging	2.0	1.8	9	ADOPT	2	2	2	2	2	2	2	2	2
ReactJS	Techniques; Frameworks & Tools	JS framework for SPA	1.8	1.9	8	ADOPT	2	1	2	2		2	1	2	2
Node.js	Techniques; Frameworks & Tools	server-side JS	0.9	0.9	8	TRIAL	2	0	2		2	1	0	-2	2
Vue.js	Techniques; Frameworks & Tools	JS framework	0.6	0.5	6	ASSESS	2	0	0				1.5	-2	2
Angular	Techniques; Frameworks & Tools	JS framework	0.1	-1.4	8	ASSESS	1	1	0	0		1	0	-2	0
Webpack	Techniques; Frameworks & Tools	Build Automation			3			0					0		1
OpenAPI (Swagger)	Techniques; Frameworks & Tools	api documentation	1.7	1.2	8	ADOPT	2	0	2	2		2	1.5	2	2
Akka (Scala)	Techniques; Frameworks & Tools	actor system framework	-0.3	-0.2	6	ASSESS		0	-1			1	0	-2	0.5
Play (Java, Scala)	Techniques; Frameworks & Tools	application framework	-0.8		4	ASSESS		0	-1				0		-2
Spring / Spring Boot	Techniques; Frameworks & Tools	impl. frw mixed	0.8	1.2	6	ADOPT	0.5	0	2			2	2		-2
Google Data Studio	Techniques; Frameworks & Tools	Dashboards adn reports	2.0	2.0	9	ADOPT	2	2	2	2	2	2	2	2	2
Tensorflow	Techniques; Frameworks & Tools	ML DL framework both low & high level	1.2		5	TRIAL	2	0	2				1.5		0.5
Jupyter	Techniques; Frameworks & Tools	Interactive data dev & visualization for Python, R and others	1.2		5	TRIAL		0	2			2	1.5		0.5
Airflow	Techniques; Frameworks & Tools	data orchestration	1.7	1.7	8	ADOPT	2	0	2		2	2	1.5	2	2
k6	Techniques; Frameworks & Tools	load testing framework	1.3	1.3	6	ADOPT	1	0		2	2		2		0.5
cypress.io	Techniques; Frameworks & Tools	frontend testing			3			0	1				1.5		
TravisCI	Techniques; Frameworks & Tools	CI/CD		0.0	3			0				1	1.5		
CircleCI	Techniques; Frameworks & Tools	CI/CD	1.0	1.3	5	TRIAL		0			2	1	1.5		0.5
Jenkins	Techniques; Frameworks & Tools	CI/CD	1.2	0.4	7	TRIAL	2	2	2	2	-2		1.5		1
Drone.io	Techniques; Frameworks & Tools	CI/CD	0.4		4	TRIAL		0	-1			1	1.5		
Prow	Techniques; Frameworks & Tools	CI/CD			3			0		2			0		
Bitrise	Techniques; Frameworks & Tools	mobile CI/CD						2		2	2	2	1.5		
Webassembly	Techniques; Frameworks & Tools	frontend framework			3			0					0		0.5
gRPC	Techniques; Frameworks & Tools	rpc 	0.9		7	TRIAL		0	0		1	1	2	1.5	1
protobuf	Techniques; Frameworks & Tools	data format	1.3		5	TRIAL		0				1	2	1.5	2
Avro/JSON	Techniques; Frameworks & Tools	data format	0.7		5	TRIAL		0	0			1	2		0.5
