Vue.js	Techniques; Frameworks & Tools	JS framework	0.5	5	TRIAL		-0.5		2		-2			1		2
Angular	Techniques; Frameworks & Tools	JS framework	-1.4	8	HOLD		-2	0.5	-1		-2		-2	-1	-2	-2
OpenAPI (Swagger)	Techniques; Frameworks & Tools	rest api frw	1.2	6	TRIAL				1	2	2		2	2		-2
Akka (Scala)	Techniques; Frameworks & Tools		-0.2	5	ASSESS				1		0	-2	2			-2
Play (Java)	Techniques; Frameworks & Tools		-2.0	5	HOLD					-2	-2	-2	-2			-2
Spring / Spring Boot	Techniques; Frameworks & Tools	impl. frw mixed	1.2	5	TRIAL				1	2			2	1		0
Google Data Studio	Techniques; Frameworks & Tools	Dashboards adn reports	2.0	10	ADOPT		2	2	2	2	2	2	2	2	2	2
Webpack	Techniques; Frameworks & Tools	Build Automation		2										1		1
Tensorflow	Techniques; Frameworks & Tools	ML DL framework both low & high level		2					1							0
Jupyter	Techniques; Frameworks & Tools	Interactive data dev & visualization for Python, R and others		2								2	2			
Airflow	Techniques; Frameworks & Tools		1.7	6	ADOPT				1		2	2	2	1		2
k6	Techniques; Frameworks & Tools	load testing framework	1.3	4	TRIAL		1					2		2		0
cypress.io	Techniques; Frameworks & Tools	frontend testing		3			2					2		2		
gRPC	Techniques; Frameworks & Tools	rpc 		3								2		0		2
TravisCI	Techniques; Frameworks & Tools	CI/CD	0.0	4	TRIAL		2					1		-1		-2
CircleCI	Techniques; Frameworks & Tools	CI/CD	1.3	4	TRIAL		2					1		2		0
Jenkins	Techniques; Frameworks & Tools	CI/CD	0.3	4	TRIAL		0					1		-1		1
Drone.io	Techniques; Frameworks & Tools	CI/CD		3			0							2		1
