Tomcat	Platforms & Infrastructure	webserver	0.6	7	TRIAL				2	-2	2	1		-2				1		2	
AWS Lambda	Platforms & Infrastructure	computing service	1.7	10	ADOPT	1		2	1.8	2			1	2	1	2		2	2		
Consul	Platforms & Infrastructure	distributed computing	0.9	4	TRIAL					0		1		1.5	1						
Grizzly	Platforms & Infrastructure	webserver		1	ADOPT				0.1												
JBoss	Platforms & Infrastructure	Application Server	-1.8	4	HOLD				-2	-2	-1			-2							
log4j	Platforms & Infrastructure	Logging-Framework	-0.5	4	ASSES				-0.1	0	-2			0							
Mesos	Platforms & Infrastructure	resource manager		3	ADOPT	-1			1.3					0							
Puppet	Platforms & Infrastructure	infrastructure management	-0.8	7	ASSES	0		1.6		0	-2			-2	-1	-2					
saltstack	Platforms & Infrastructure	infrastructure management	0.9	7	TRIAL	1					-1			1	2			1	1		1
Terraform	Platforms & Infrastructure	infrastructure management	1.6	6	ADOPT	1.5		1.3		2						1.5		1		2	
Packer	Platforms & Infrastructure	infrastructure management		1														1			
Kubernetes	Platforms & Infrastructure	cluster resource manager	1.9	8	ADOPT	2			1.7	2		1.5		2	2	2		2			
Zookeeper	Platforms & Infrastructure	distributed computing	1.2	4	TRIAL				1.8	1				1				1			
AWS Cloudformation	Platforms & Infrastructure	infrastructure manager	0.7	5	TRIAL	-1		1.2									1.2	1	1		
Akka (Scala)	Techniques; Frameworks & Tools		1.2	4	TRIAL				1.8	2	1			0							
Gradle	Techniques; Frameworks & Tools	Build Tool		1	ADOPT					-1											
Guava	Techniques; Frameworks & Tools	standard lib		2	ADOPT					0	2										
jQuery	Techniques; Frameworks & Tools	JS framework	0.5	11	TRIAL		1	1.2	0.8	0		0	1	1	-1			0	1		0
Maven	Techniques; Frameworks & Tools	Build Tool	1.3	6	TRIAL				2	0	1			1				2		2	
Node.js	Techniques; Frameworks & Tools	server-side JS	1.4	11	TRIAL	1,5	1.5	1.4	1	2			1	0	2	2	1.5	1		2	
OpenAPI (Swagger)	Techniques; Frameworks & Tools	rest api frw	1.9	9	ADOPT	2				2				2	2	2	2	1	2	2	
Play (Scala)	Techniques; Frameworks & Tools			3	ADOPT					2	-1			2							
ReactJS	Techniques; Frameworks & Tools	JS framework for SPA	1.4	7	TRIAL	1		1.4	0.7	2				2	2				1		
Sbt	Techniques; Frameworks & Tools	Build Tool		2	ADOPT					2				2							
scikit-learn	Techniques; Frameworks & Tools	lib for machine learning		3	ADOPT								1	2	2						
Spring / Spring Boot	Techniques; Frameworks & Tools	impl. frw mixed	1.2	6	TRIAL				2	0	2			0				1		2	
PHP Symfony	Techniques; Frameworks & Tools	PHP Framework	-0.9	4	ASSES					0						-0.5	-1	-2			
Ember.js	Techniques; Frameworks & Tools	JS framework	0.4	4	TRIAL		0.5			0.5			0.5		0						
Play (Java)	Techniques; Frameworks & Tools			2	ADOPT					2				0							
Spray	Techniques; Frameworks & Tools			2	ADOPT					1				-2							
AngularJS 1.x	Techniques; Frameworks & Tools	JS framework	-0.7	6	ASSES	-1	1		-1	-1					-1	-1					
BackboneJS	Techniques; Frameworks & Tools	JS framework	-0.8	4	ASSES			1		-2			-1			-1					
Angular	Techniques; Frameworks & Tools	JS framework	0.8	4	TRIAL		1		1						0	1					
Apache Camel	Techniques; Frameworks & Tools	enterprise integration framework		1	ADOPT															2	
AspectJ	Techniques; Frameworks & Tools	Aspect Oriented Language (JVM)		1	ADOPT					-2											
OpenNLP	Techniques; Frameworks & Tools	Natural Language Processing		2	ADOPT									1				0			
Grunt	Techniques; Frameworks & Tools	Built Automation / NodeJS taskrunner		1	ADOPT								2								
Gulp	Techniques; Frameworks & Tools	Built Automation		2	ADOPT					0.2								1			
Webpack	Techniques; Frameworks & Tools	Built Automation		2	ADOPT					1						1					
CakePhp	Techniques; Frameworks & Tools	PHP Framework		3	ADOPT	-2											-1	-2			
Laravel PHP	Techniques; Frameworks & Tools	PHP Framework		3	ADOPT	-1											0	-2			
Xamarin	Techniques; Frameworks & Tools	Cross platform app development framework		2	ADOPT	0							1.7								
