AWS S3	Data Mgt	file object store	2.0	16	ADOPT	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
AWS SNS	Data Mgt	messaging service	1.5	13	TRIAL	1	1	1	1	0	2	2		2		1	2	2	2	2	
AWS SQS	Data Mgt	message queues	1.8	12	ADOPT	1	2	1	1	2	2	2		2		2	2	2		2	
Cassandra	Data Mgt	NoSql DB	0.2	6	TRIAL	0			0	0			-1			1				1	
Elasticsearch	Data Mgt	NoSql Search DB	1.5	15	ADOPT	1.5	1		1.8	1.5	2	1	2	1.5	1.5	2	1	2	2	1	1
Kafka	Data Mgt	message queues	0.8	5	TRIAL	1			1	0			1			1					
Nakadi	Data Mgt	event bus		2						0			-2								
PostgreSQL	Data Mgt	RDBMS	1.8	13	ADOPT	2	2	1.5	2	1.5	2		2	2	2	1	2			2	2
Redis	Data Mgt	NoSql DB/caching	1.9	14	ADOPT	2	2	2	2	2	2		1.5	2	1.5	2		2	2	2	1
Solr	Data Mgt	NoSql Search DB	0.4	8	TRIAL	-1.5		2	2	0	-1		-1			1	2				
Spark	Data Mgt	event processing	0.9	6	TRIAL	1			2	0			1			1				0.5	
AWS Kinesis	Data Mgt	event processing	0.9	7	TRIAL	1		1	1	1	1							0		1.5	
Google BigTable	Data Mgt	NoSql DB		3		1.5				1.5			2								
Hadoop/MR	Data Mgt	data processing frw		2					1			1									
Hadoop/YARN	Data Mgt	cluster resource manager		2					1			1									
ActiveMQ	Data Mgt	message queues	0.6	6	TRIAL	-1		1.2	1.5	0		1						1			
CouchBase	Data Mgt	NoSql DB	-1.0	4	ASSES	-2				0	-1				-1						
Graphite	Data Mgt	TS DB		3				1		0			-2								
Hadoop/HBase	Data Mgt	NoSql DB		3				1.3	0.5			1									
HornetQueue	Data Mgt	message queues		1							1										
InfluxDB	Data Mgt	TS DB	0.8	6	TRIAL	1				0	1	1	1						1		
MemCached	Data Mgt	caching	0.7	13	TRIAL	0	1	1.4	1.7	0			-2		1.5	0	0.5	2	0	1	2
MongoDB	Data Mgt	NoSql DB	0.2	12	TRIAL	-1	0	1.5	1	2	-1		-2		0	1		1	1		-1
MySQL	Data Mgt	RDBMS	0.7	14	TRIAL	-1	1.5	1.5	1.5	-2		1.8	-1	1.5	1	1	1	2	0	1.5	
Neo4j	Data Mgt	Graph DB		3						-1			-1			1					
Oracle DB	Data Mgt	RDBMS	-0.2	5	ASSES	-1			-1	1		1.8	-2								
RabbitMQ	Data Mgt	message queues	1.2	10	TRIAL	0	0		1.5	1.5	1.5	1.4				2	0.5		2	1.5	
Riak	Data Mgt	NoSql DB		1							-1										
AWS DynamoDB	Data Mgt	NoSql DB	1.0	8	TRIAL		1	1	1	0	1				1	1		2			
Flink	Data Mgt	event processing		1					1												
Google BigQuery	Data Mgt	NoSql DB	1.9	5	ADOPT				2	2		2	2							1.5	
Hadoop/HDFS	Data Mgt	distributed storage	1.1	4	TRIAL			1.2	2	0		1									
AWS AURORA	Data Mgt	database	1.3	6	TRIAL			2	1	1					0.5			2		1.5	
AWS DMS	Data Mgt	database migration service	0.8	4	TRIAL			1		0					1		1				
Go	Languages	impl. language	1.3	8	TRIAL	1			1	2			1	2		1	1.5	1			
Java	Languages	impl. language	0.8	13	TRIAL	1	1	1	1	0	2		-2	2		1	-1	2	0	2	
Javascript	Languages	impl. language	1.9	15	ADOPT	2	2	2	2	2	2		2	1.5	2	1	2	2	2	2	1.5
Python	Languages	impl. language	1.8	11	ADOPT	1.5	1.5	1.5	2	2		2	2		1.8	2	1			2	
Scala	Languages	impl. language	1.3	6	TRIAL	1.5			1	1.5	1		1.5							1	
Swift	Languages	impl. language	1.7	14	ADOPT	1.5	2	2	2	2	1		2	2	1.5		1	1	2	2	1.5
Elm	Languages			2					0.7	0											
Kotlin	Languages	language on the JVM	1.3	7	TRIAL			1	2	1				1.5	1			1		1.5	
R	Languages	impl. language	0.9	4	TRIAL			1	1	0										1.5	
Rust	Languages	impl. language		1						0.5											
.NET / languages	Languages	.NET software appl platform including .NET based programming languages like C#, F#	1.1	8	TRIAL		2	2	0.5	0	1		1				2	0			
C/C++	Languages	impl. language	-0.4	6	ASSES	-2	0	1	0.5	-1			-1								
Coffeescript	Languages	impl. language		2						-1											-1
Erlang	Languages	impl. language	-0.6	4	ASSES	-1			0.5	-1	-1										
Groovy	Languages	impl. language	0.7	4	TRIAL				0.8	-1	1							2			
Haskell	Languages	impl. language		2					0.5	-2											
JRuby	Languages	impl. language		2						-2										1	
Jython	Languages	impl. language		1						-2											
Perl	Languages	impl. language	-1.8	5	HOLD	-2			-1	-2			-2	-2							
PHP	Languages		-0.5	12	ASSES	0	0		-1	0.5			-1	0	0	-2	0	-2	0	0	
Ruby	Languages	impl. language	0.3	8	TRIAL	0			0.5	-2			-1		0	1				1.5	2
Clojure	Languages	impl. language		1						-2											
Typescript	Languages	impl. language		2						0.5				1.5							
Docker	Platforms & Infrastructure	Container/Deployment	1.7	14	ADOPT	2	2	1.5	2	2	2	2	2		1	2	2	2		2	-0.5
HAProxy	Platforms & Infrastructure	loadbalancer	1.4	8	TRIAL				1.5	1.5		2	1.5	1		1				1.5	1.5
Jetty	Platforms & Infrastructure	webserver		3						0	1					1					
log4j2	Platforms & Infrastructure	Logging-Framework	0.9	5	TRIAL				1.5	0	1		1			1					
Nginx	Platforms & Infrastructure	webserver / loadbalancer	1.9	14	ADOPT	2		1.7	2	2		2	1.5	2	2	2	2	2	2	2	1.5
slf4j	Platforms & Infrastructure	Logging-Facade, multiple implementations (Log4J,Logback)		2						0	2										
Tomcat	Platforms & Infrastructure	webserver	0.3	7	TRIAL				0	-2	2	1	-2			1		2			
AWS Lambda	Platforms & Infrastructure	computing service	1.8	12	ADOPT	1	2	2	2	1			2	2	2	2	2	2		2	
Consul	Platforms & Infrastructure	distributed computing	0.9	4	TRIAL				1.2	0		1	1.5								
Grizzly	Platforms & Infrastructure	webserver		0																	
JBoss	Platforms & Infrastructure	Application Server	-1.8	4	HOLD				-2	-2	-1		-2								
log4j	Platforms & Infrastructure	Logging-Framework	-0.4	4	ASSES				0.5	0	-2		0								
Mesos	Platforms & Infrastructure	resource manager	-0.2	5	ASSES	-1			1	0			0	-1							
Puppet	Platforms & Infrastructure	infrastructure management	-0.6	8	ASSES	0		1.6		0	-2	1	-2	-2						-1	
saltstack	Platforms & Infrastructure	infrastructure management	0.8	8	TRIAL	1			2	0	-1		1			1	1		1		
Terraform	Platforms & Infrastructure	infrastructure management	1.6	12	ADOPT	1.5	2	1.5	1.5	2		2		1.5	2	1	0	2		2	
Packer	Platforms & Infrastructure	infrastructure management		3						0				-1		1					
Kubernetes	Platforms & Infrastructure	cluster resource manager	1.7	11	ADOPT	2	2	1	1.5	2		1.5	2	2		2	1			2	
Zookeeper	Platforms & Infrastructure	distributed computing	1.0	5	TRIAL				1	1			1			1		1			
AWS Cloudformation	Platforms & Infrastructure	infrastructure manager	0.4	9	TRIAL	-1		1.5		-1		1		-1	1	1	1			1	
Akka (Scala)	Techniques; Frameworks & Tools		1.3	4	TRIAL				1	1.5	1									1.5	
Gradle	Techniques; Frameworks & Tools	Build Tool		3						0										1	1
Guava	Techniques; Frameworks & Tools	standard lib		2						-2	2										
jQuery	Techniques; Frameworks & Tools	JS framework	0.4	13	TRIAL		1	1.2	0.5	-1		0	1	1	0	0	-1		0	1	1.8
Maven	Techniques; Frameworks & Tools	Build Tool	0.8	6	TRIAL				1	-2	1		1			2		2			
Node.js	Techniques; Frameworks & Tools	server-side JS	1.2	11	TRIAL	1,5	1.5	1	1	2				2	1	1	1	2		1.5	-1
OpenAPI (Swagger)	Techniques; Frameworks & Tools	rest api frw	1.6	11	ADOPT	2		1	0.5	2			2	1.5	2	1	2	2		2	
Play (Scala)	Techniques; Frameworks & Tools			3						0	-1		1								
ReactJS	Techniques; Frameworks & Tools	JS framework for SPA	1.5	10	ADOPT	1		1.4	1.2	2			2	1.5	1		1	2		2	
Sbt	Techniques; Frameworks & Tools	Build Tool		2						2			2								
scikit-learn	Techniques; Frameworks & Tools	lib for machine learning		3					1.5	0			2								
Spring / Spring Boot	Techniques; Frameworks & Tools	impl. frw mixed	1.0	6	TRIAL				1	-2	2					1		2		2	
PHP Symfony	Techniques; Frameworks & Tools	PHP Framework	-1.2	5	HOLD					-2				0	-1	-2				-1	
Ember.js	Techniques; Frameworks & Tools	JS framework		3			-1			1				-1							
Play (Java)	Techniques; Frameworks & Tools			2						0			-2								
Spray	Techniques; Frameworks & Tools			2						2			-2								
AngularJS 1.x	Techniques; Frameworks & Tools	JS framework	-0.2	5	ASSES	-1	1		-1	0					0						
BackboneJS	Techniques; Frameworks & Tools	JS framework	-1.0	5	ASSES			1		-2				-1			-2				-1
Angular	Techniques; Frameworks & Tools	JS framework	0.4	5	TRIAL		1	1	1	-2					1						
Apache Camel	Techniques; Frameworks & Tools	enterprise integration framework		2						0								2			
AspectJ	Techniques; Frameworks & Tools	Aspect Oriented Language (JVM)		1						-2											
OpenNLP	Techniques; Frameworks & Tools	Natural Language Processing		3						1			1			0					
Grunt	Techniques; Frameworks & Tools	Built Automation / NodeJS taskrunner		1						-1											
Gulp	Techniques; Frameworks & Tools	Built Automation		3						-1						1	-2				
Webpack	Techniques; Frameworks & Tools	Built Automation	1.1	4	TRIAL					1.5				1			1	1			
CakePhp	Techniques; Frameworks & Tools	PHP Framework	-2.0	4	HOLD	-2				-2					-2	-2					
Laravel PHP	Techniques; Frameworks & Tools	PHP Framework	-0.3	6	ASSES	-1			1	0				-1	1	-2					
Xamarin	Techniques; Frameworks & Tools	Cross platform app development framework		3		0		1.5		-2											
MSSQL	Data Mgt	RDBMS		3			1	2						-2							
